country_survey_label,country_name,iso3
Albania2019,Albania,ALB
Armenia2020,Armenia,ARM
Azerbaijan2019,Azerbaijan,AZE
Belarus2018,Belarus,BLR
Bosnia and Herzegovina2019,Bosnia and Herzegovina,BIH
Bulgaria2019,Bulgaria,BGR
Croatia2019,Croatia,HRV
Cyprus2019,Cyprus,CYP
Czechia2019,Czechia,CZE
Egypt2020,Egypt,EGY
Estonia2019,Estonia,EST
Georgia2019,Georgia,GEO
Greece2018,Greece,GRC
Hungary2019,Hungary,HUN
Italy2019,Italy,ITA
Jordan2019,Jordan,JOR
Kazakhstan2019,Kazakhstan,KAZ
Kosovo2019,Kosovo,XKX
Kyrgyz Republic2019,Kyrgyz Republic,KGZ
Latvia2019,Latvia,LVA
Lebanon2019,Lebanon,LBN
Lithuania2019,Lithuania,LTU
Malta2019,Malta,MLT
Moldova2019,Moldova,MDA
Mongolia2019,Mongolia,MNG
Montenegro2019,Montenegro,MNE
Morocco2019,Morocco,MAR
North Macedonia2019,North Macedonia,MKD
Poland2019,Poland,POL
Portugal2019,Portugal,PRT
Romania2019,Romania,ROU
Russia2019,Russia,RUS
Serbia2019,Serbia,SRB
Slovak Republic2019,Slovak Republic,SVK
Slovenia2019,Slovenia,SVN
Tajikistan2019,Tajikistan,TJK
Tunisia2020,Tunisia,TUN
Türkiye2019,Türkiye,TUR
Ukraine2019,Ukraine,UKR
Uzbekistan2019,Uzbekistan,UZB
West Bank And Gaza2019,West Bank and Gaza,PSX
Bangladesh2022,Bangladesh,BGD
India2022,India,IND
Indonesia2023,Indonesia,IDN
Peru2023,Peru,PER
Philippines2023,Philippines,PHL
Timor-Leste2021,Timor-Leste,TLS
