iso3,name,region,income_level,name_norm,join_year,ever_treated
ABW,Aruba,Latin America & Caribbean ,High income,aruba,,False
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,afghanistan,,False
AGO,Angola,Sub-Saharan Africa ,Lower middle income,angola,2024.0,True
ALB,Albania,Europe & Central Asia,Upper middle income,albania,2024.0,True
AND,Andorra,Europe & Central Asia,High income,andorra,,False
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,united arab emirates,,False
ARG,Argentina,Latin America & Caribbean ,Upper middle income,argentina,2016.0,True
ARM,Armenia,Europe & Central Asia,Upper middle income,armenia,2021.0,True
ASM,American Samoa,East Asia & Pacific,High income,american samoa,,False
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,antigua and barbuda,2021.0,True
AUS,Australia,East Asia & Pacific,High income,australia,,False
AUT,Austria,Europe & Central Asia,High income,austria,,False
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,azerbaijan,2022.0,True
BDI,Burundi,Sub-Saharan Africa ,Low income,burundi,,False
BEL,Belgium,Europe & Central Asia,High income,belgium,,False
BEN,Benin,Sub-Saharan Africa ,Lower middle income,benin,,False
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,burkina faso,,False
BGD,Bangladesh,South Asia,Lower middle income,bangladesh,2012.0,True
BGR,Bulgaria,Europe & Central Asia,High income,bulgaria,,False
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,bahrain,,False
BHS,"Bahamas, The",Latin America & Caribbean ,High income,"bahamas, the",,False
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,bosnia and herzegovina,2024.0,True
BLR,Belarus,Europe & Central Asia,Upper middle income,belarus,,False
BLZ,Belize,Latin America & Caribbean ,Upper middle income,belize,,False
BMU,Bermuda,North America,High income,bermuda,,False
BOL,Bolivia,Latin America & Caribbean ,Lower middle income,bolivia,,False
BRA,Brazil,Latin America & Caribbean ,Upper middle income,brazil,2012.0,True
BRB,Barbados,Latin America & Caribbean ,High income,barbados,,False
BRN,Brunei Darussalam,East Asia & Pacific,High income,brunei darussalam,,False
BTN,Bhutan,South Asia,Lower middle income,bhutan,,False
BWA,Botswana,Sub-Saharan Africa ,Upper middle income,botswana,,False
CAF,Central African Republic,Sub-Saharan Africa ,Low income,central african republic,2022.0,True
CAN,Canada,North America,High income,canada,,False
CHE,Switzerland,Europe & Central Asia,High income,switzerland,,False
CHI,Channel Islands,Europe & Central Asia,High income,channel islands,,False
CHL,Chile,Latin America & Caribbean ,High income,chile,2023.0,True
CHN,China,East Asia & Pacific,Upper middle income,china,2012.0,True
CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,cote d'ivoire,,False
CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,cameroon,2022.0,True
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,"congo, dem. rep.",,False
COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,"congo, rep.",2022.0,True
COL,Colombia,Latin America & Caribbean ,Upper middle income,colombia,2012.0,True
COM,Comoros,Sub-Saharan Africa ,Lower middle income,comoros,,False
CPV,Cabo Verde,Sub-Saharan Africa ,Upper middle income,cabo verde,,False
CRI,Costa Rica,Latin America & Caribbean ,High income,costa rica,2019.0,True
CUB,Cuba,Latin America & Caribbean ,Upper middle income,cuba,,False
CUW,Curacao,Latin America & Caribbean ,High income,curacao,,False
CYM,Cayman Islands,Latin America & Caribbean ,High income,cayman islands,,False
CYP,Cyprus,Europe & Central Asia,High income,cyprus,,False
CZE,Czechia,Europe & Central Asia,High income,czechia,,False
DEU,Germany,Europe & Central Asia,High income,germany,,False
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,djibouti,,False
DMA,Dominica,Latin America & Caribbean ,Upper middle income,dominica,,False
DNK,Denmark,Europe & Central Asia,High income,denmark,,False
DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,dominican republic,2017.0,True
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,algeria,,False
ECU,Ecuador,Latin America & Caribbean ,Upper middle income,ecuador,2016.0,True
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,"egypt, arab rep.",2016.0,True
ERI,Eritrea,Sub-Saharan Africa ,Low income,eritrea,,False
ESP,Spain,Europe & Central Asia,High income,spain,,False
EST,Estonia,Europe & Central Asia,High income,estonia,,False
ETH,Ethiopia,Sub-Saharan Africa ,Low income,ethiopia,,False
FIN,Finland,Europe & Central Asia,High income,finland,,False
FJI,Fiji,East Asia & Pacific,Upper middle income,fiji,2017.0,True
FRA,France,Europe & Central Asia,High income,france,,False
FRO,Faroe Islands,Europe & Central Asia,High income,faroe islands,,False
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,"micronesia, fed. sts.",,False
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,gabon,2022.0,True
GBR,United Kingdom,Europe & Central Asia,High income,united kingdom,,False
GEO,Georgia,Europe & Central Asia,Upper middle income,georgia,2017.0,True
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,ghana,2016.0,True
GIB,Gibraltar,Europe & Central Asia,High income,gibraltar,,False
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,guinea,,False
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,"gambia, the",,False
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,guinea-bissau,,False
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,equatorial guinea,2022.0,True
GRC,Greece,Europe & Central Asia,High income,greece,,False
GRD,Grenada,Latin America & Caribbean ,Upper middle income,grenada,2021.0,True
GRL,Greenland,Europe & Central Asia,High income,greenland,,False
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,guatemala,2021.0,True
GUM,Guam,East Asia & Pacific,High income,guam,,False
GUY,Guyana,Latin America & Caribbean ,High income,guyana,,False
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,"hong kong sar, china",,False
HND,Honduras,Latin America & Caribbean ,Lower middle income,honduras,2015.0,True
HRV,Croatia,Europe & Central Asia,High income,croatia,,False
HTI,Haiti,Latin America & Caribbean ,Lower middle income,haiti,,False
HUN,Hungary,Europe & Central Asia,High income,hungary,,False
IDN,Indonesia,East Asia & Pacific,Upper middle income,indonesia,2012.0,True
IMN,Isle of Man,Europe & Central Asia,High income,isle of man,,False
IND,India,South Asia,Lower middle income,india,2016.0,True
IRL,Ireland,Europe & Central Asia,High income,ireland,,False
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,"iran, islamic rep.",,False
