country_survey_label,country_name,iso3,survey_year,sbfn_member,sbfn_join_year,sbfn_policy_stage_at_survey,sbfn_source,wgi_regulatory_quality,wgi_government_effectiveness,wgi_year_used,wgi_source
Albania2019,Albania,ALB,2019,0,,None,"Not yet a member at survey year (joined 2024). Source: data.sbfnetwork.org/country-profiles (2026, absent for 2019); ""Bank of Albania Joins SBFN,"" sbfnetwork.org/bank-of-albania-joins-sbfn (Feb 27, 2024).",0.0917374,0.0266494,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Armenia2020,Armenia,ARM,2020,0,,None,"Not yet a member at survey year (joined 2021). Source: ""Central Bank of Armenia Joins SBFN,"" sbfnetwork.org/the-central-bank-of-armenia-joins-sbfn (Nov 23, 2021).",0.2080999,-0.3375702,2020,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Azerbaijan2019,Azerbaijan,AZE,2019,0,,None,"Not yet a member at survey year (joined 2022). Source: ""Central Bank of the Republic of Azerbaijan Joins SBFN,"" sbfnetwork.org/central-bank-of-the-republic-of-azerbaijan-joins-sbfn (Jan 24, 2022).",-0.1045151,-0.0555998,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Belarus2018,Belarus,BLR,2018,0,,None,"Never an SBFN/SBN member. Absent from full member roster in SBN Global Progress Report, Feb 2018 (documents1.worldbank.org/curated/en/563041520939488095) and absent from current data.sbfnetwork.org/country-profiles (2026).",-0.7883245,-0.229958,2018,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Bosnia and Herzegovina2019,Bosnia and Herzegovina,BIH,2019,0,,None,"Not yet a member at survey year (joined 2024-2025). Source: ""Central Bank of Bosnia and Herzegovina Joins SBFN,"" sbfnetwork.org/central-bank-of-bosnia-and-herzegovina-joins-sbfn-to-advance-sustainable-finance (2024); ""Banks Association of Bosnia and Herzegovina Joins SBFN"" (2025).",-0.3767077,-0.7937191,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Bulgaria2019,Bulgaria,BGR,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.4580563,0.0359426,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Croatia2019,Croatia,HRV,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",0.38478,0.4191078,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Cyprus2019,Cyprus,CYP,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",1.0395499,0.9974556,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Czechia2019,Czechia,CZE,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",1.1215213,0.971418,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Egypt2020,Egypt,EGY,2020,1,2016,Formulating (Preparation phase),"Member since 2016 (Federation of Egyptian Banks / Central Bank of Egypt). Stage per Global Progress Report of the Sustainable Banking Network, Oct 2019 (data as of June 2019), Fig.9 ""SBN Progression Matrix"" p.5 (documents1.worldbank.org/curated/en/243311582536579969) -- nearest available classification to the 2020 survey year; no later report re-classified Egypt before 2020.",-0.6355909,-0.234355899999999,2020,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Estonia2019,Estonia,EST,2019,0,,None,"SBFN Data Portal country-profiles listing (data.sbfnetwork.org/country-profiles, accessed 2026) lists 69 member entities across Africa, East Asia & Pacific, Europe & Central Asia, Latin America & Caribbean, MENA and South Asia -- zero EU member states appear, consistent with SBFN's mandate as an emerging/developing-market network (IFC, ""About SBFN,"" sbfnetwork.org/about-sbf-network). Spot-verified directly for Poland and Bulgaria via the same portal listing (absent).",1.5431575,1.1953645,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
Georgia2019,Georgia,GEO,2019,1,2017,Developing (Implementation phase),"Member since 2017. Stage per SBN 2019 Global Progress Report (Oct 2019) Progression Matrix, sbfnetwork.org/sites/default/files/2025/Mar/SBN_2nd_Global_Progress_Report_PPT_1009.pdf; join year and corroboration per SBFN Georgia Country Progress Report (Nov 2021), sbfnetwork.org/sites/default/files/2025/Apr/SBN_country_reports_country_with_framework_Georgia.pdf.",0.8781482,0.511363,2019,"World Bank Worldwide Governance Indicators, DataBank API (api.worldbank.org/v2/country/{ISO3}/indicator/GOV_WGI_RQ_EST and GOV_WGI_GE_EST, format=json), accessed 2026; see also info.worldbank.org/governance/wgi/"
