country_survey_label,sbfn_member,sbfn_join_year,sbfn_policy_stage_at_survey,wgi_regulatory_quality,wgi_year_used
Albania2019,0,,,0.0917374,2019
Armenia2020,0,,,0.2080999,2020
Azerbaijan2019,0,,,-0.1045151,2019
Bangladesh2022,1,2012.0,Advancing (Implementation phase / ESG Integration pillar),-0.9240476,2022
Belarus2018,0,,,-0.7883245,2018
Bosnia and Herzegovina2019,0,,,-0.3767077,2019
Bulgaria2019,0,,,0.4580563,2019
Croatia2019,0,,,0.38478,2019
Cyprus2019,0,,,1.0395499,2019
Czechia2019,0,,,1.1215213,2019
Egypt2020,1,2016.0,Formulating (Preparation phase),-0.6355909,2020
Estonia2019,0,,,1.5431575,2019
Georgia2019,1,2017.0,Developing (Implementation phase),0.8781482,2019
Greece2018,0,,,0.2867976,2018
Hungary2019,0,,,0.4598348,2019
India2022,1,2016.0,Developing (Commitment pillar),-0.087658,2022
Indonesia2023,1,2012.0,Consolidating (Maturing stage / ESG Integration pillar),0.3408081,2023
Italy2019,0,,,0.7011105,2019
Jordan2019,1,2016.0,Commitment (Preparation phase),0.159713,2019
Kazakhstan2019,0,,,0.112725,2019
Kosovo2019,0,,,-0.3751079,2019
Kyrgyz Republic2019,1,2018.0,Commitment (Preparation phase),-0.4211895,2019
Latvia2019,0,,,1.0030074,2019
Lebanon2019,0,,,-0.5611682,2019
Lithuania2019,0,,,0.9756202,2019
Malta2019,0,,,0.8271849,2019
Moldova2019,0,,,-0.113272799999999,2019
Mongolia2019,1,2012.0,Advancing (Implementation phase),-0.0663774999999999,2019
Montenegro2019,0,,,0.2943513,2019
Morocco2019,1,2014.0,Advancing (Implementation phase),0.0271992,2019
North Macedonia2019,0,,,0.192812,2019
Peru2023,1,2013.0,Advancing (Implementation phase / ESG Integration pillar),0.1292945,2023
Philippines2023,1,2013.0,Advancing (Implementation phase / ESG Integration pillar),0.0633741,2023
Poland2019,0,,,0.8277446,2019
Portugal2019,0,,,0.9999205,2019
Romania2019,0,,,0.3572005,2019
Russia2019,0,,,-0.3542324,2019
Serbia2019,0,,,0.064278,2019
Slovak Republic2019,0,,,0.7272442,2019
Slovenia2019,0,,,0.8847728,2019
Tajikistan2019,0,,,-0.800882299999999,2019
Timor-Leste2021,0,,,-0.86557,2021
Tunisia2020,1,2019.0,UNVERIFIED,-0.1095893,2020
Türkiye2019,1,2015.0,Developing (Implementation phase),-0.0157501,2019
Ukraine2019,0,,,-0.2900464,2019
Uzbekistan2019,0,,,-0.9215511,2019
West Bank And Gaza2019,0,,,-0.1491287,2019
