country_survey_label,iso3,sbfn_member,green_rate,n
Albania2019,ALB,0,0.6090425531914894,377
Armenia2020,ARM,0,0.6839186691312384,546
Azerbaijan2019,AZE,0,0.4182692307692308,225
Belarus2018,BLR,0,0.6616666666666666,600
Bosnia and Herzegovina2019,BIH,0,0.5809248554913294,362
Bulgaria2019,BGR,0,0.6036269430051814,772
Croatia2019,HRV,0,0.7083333333333334,404
Cyprus2019,CYP,0,0.7458333333333333,240
Czechia2019,CZE,0,0.7254098360655737,502
Egypt2020,EGY,1,0.3030598958333333,3075
Estonia2019,EST,0,0.7381615598885793,360
Georgia2019,GEO,1,0.4413793103448276,581
Greece2018,GRC,0,0.8251748251748252,600
Hungary2019,HUN,0,0.6732919254658385,805
Italy2019,ITA,0,0.5059288537549407,760
Jordan2019,JOR,1,0.4709897610921502,601
Kazakhstan2019,KAZ,0,0.5191761363636364,1446
Kosovo2019,XKX,0,0.6977611940298507,271
Kyrgyz Republic2019,KGZ,1,0.6055555555555555,360
Latvia2019,LVA,0,0.8240223463687151,359
Lebanon2019,LBN,0,0.4520547945205479,532
Lithuania2019,LTU,0,0.6778711484593838,358
Malta2019,MLT,0,0.9008264462809917,242
Moldova2019,MDA,0,0.6194444444444445,360
Mongolia2019,MNG,1,0.625,360
Montenegro2019,MNE,0,0.38666666666666666,150
Morocco2019,MAR,1,0.4779299847792998,1096
North Macedonia2019,MKD,0,0.5722222222222222,360
Poland2019,POL,0,0.5692425401683244,1369
Portugal2019,PRT,0,0.8124410933081998,1062
Romania2019,ROU,0,0.4375,814
Russia2019,RUS,0,0.503030303030303,1323
Serbia2019,SRB,0,0.6537396121883656,361
Slovak Republic2019,SVK,0,0.7816901408450704,429
Slovenia2019,SVN,0,0.7930174563591023,409
Tajikistan2019,TJK,0,0.5233918128654971,352
Tunisia2020,TUN,1,0.39087947882736157,615
Türkiye2019,TUR,1,0.34577723378212977,1663
Ukraine2019,UKR,0,0.7151424287856072,1337
Uzbekistan2019,UZB,0,0.7506092607636068,1239
West Bank And Gaza2019,PSE,0,0.42777777777777776,365
Bangladesh2022,BGD,1,0.5392156862745098,998
India2022,IND,1,0.5149091739974866,9376
Indonesia2023,IDN,1,0.11464088397790055,2955
Peru2023,PER,1,0.22515212981744423,987
Philippines2023,PHL,1,0.2565922920892495,1002
Timor-Leste2021,TLS,0,0.02100840336134454,238
