,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-23,-0.14357625673527238,0.09295441849067448,-0.3257635691808584,0.038611055710313646,
-22,0.08380000924351906,0.16457969855939258,-0.238770272519349,0.4063702910063871,
-21,0.016260086158221276,0.08056956274043196,-0.14165335506316562,0.17417352737960817,
-20,-0.0724296898845032,0.09349071887004043,-0.25566813175854164,0.11080875198953526,
-19,0.10148105296777256,0.10078526314810138,-0.09605443297489809,0.2990165389104432,
-18,0.010877929990147153,0.10501828343793039,-0.19495412326641565,0.21670998324670998,
-17,0.050945493993648415,0.07905025811085992,-0.10399016487223231,0.20588115285952915,
-16,-0.035035200004167155,0.06137737102263277,-0.1553326366742797,0.08526223666594542,
-15,0.01873930865035727,0.04527484443769213,-0.06999775585317289,0.10747637315388744,
-14,0.014115227475999338,0.05678753146236824,-0.09718628896117762,0.12541674391317628,
-13,0.01238042275915319,0.06944671362391401,-0.12373263478838536,0.14849348030669174,
-12,-0.1063962821462241,0.09883858861296356,-0.3001163561104034,0.08732379181795519,
-11,-0.02266293456050271,0.047713177949869234,-0.11617904493019707,0.07085317580919165,
-10,0.048125133092946096,0.05987252200282456,-0.06922285369617198,0.16547311988206417,
-9,0.07473530487530455,0.0636098348436039,-0.04993768048070012,0.19940829023130924,
-8,0.19763591189016647,0.11420153594593367,-0.02619498554301991,0.42146680932335284,
-7,0.017147262090894025,0.0731423747718643,-0.12620915820569106,0.16050368238747914,
-6,-0.009004552305912773,0.055035186249250724,-0.11687153523689822,0.09886243062507266,
-5,0.029617760131742468,0.04248205234238064,-0.053645532448669014,0.11288105271215396,
-4,0.04649228602585167,0.06935168860219919,-0.0894345259014957,0.18241909795319905,
-3,0.13404705787834503,0.05564233322138041,0.02499008874866286,0.2431040270080272,*
-2,0.13662667670447054,0.07799954408457409,-0.016249620511838897,0.28950297392077995,
-1,0.07320205602327044,0.037280357285322224,0.00013389841325346652,0.1462702136332874,*
0,0.026154910145334095,0.0678943164037023,-0.10691550476088942,0.15922532505155762,
1,0.24727045115226706,0.07812563626936862,0.09414701779502838,0.40039388450950575,*
2,0.35580178640851323,0.1253616097804927,0.11009754619478332,0.6015060266222432,*
3,0.42437357014662663,0.15292169536420444,0.1246525547779802,0.7240945855152731,*
4,0.5411519342811335,0.20599006162755,0.13741883231794932,0.9448850362443177,*
5,0.6642527047234004,0.20079248932817198,0.27070665727404014,1.0577987521727605,*
6,0.7643849320747704,0.22651236327214422,0.32042885800831444,1.2083410061412265,*
7,0.8904875765865403,0.2348959033529159,0.4301000658988238,1.3508750872742568,*
8,1.0220280968697086,0.2724077848931292,0.48811864937084115,1.5559375443685761,*
9,1.428847172785228,0.38255803811591754,0.6790471960817285,2.178647149488728,*
10,1.7501940355829833,0.49361467701196354,0.7827270463991634,2.7176610247668034,*
11,2.137021040517404,0.5571316792422947,1.0450630145561848,3.2289790664786233,*
12,2.2375031602621283,0.5137560249255821,1.230559854567525,3.244446465956732,*
