,EventAggregation,EventAggregation,EventAggregation,EventAggregation,EventAggregation
,,analytic,pointwise conf. band,pointwise conf. band,pointwise conf. band
,ATT,std_error,lower,upper,zero_not_in_cband
relative_period,,,,,
-23,-0.07959753054313544,0.18708084885156673,-0.44626925648938776,0.28707419540311685,
-22,0.037998455591316045,0.13257462447354582,-0.2218430336407562,0.29783994482338827,
-21,-0.021437959059574237,0.05316168471518819,-0.12563294645881656,0.08275702833966808,
-20,-0.08710025285201434,0.06133916703878848,-0.20732281108972617,0.03312230538569748,
-19,0.2028609195619176,0.1279107595599743,-0.047839562410794456,0.45356140153462965,
-18,0.013301669971774965,0.09360457266960057,-0.17015992124890442,0.19676326119245433,
-17,0.05174931224300182,0.08173945246222736,-0.10845707069898765,0.2119556951849913,
-16,-0.02135471779985096,0.06487284378290753,-0.14850315518904286,0.10579371958934095,
-15,0.0945323871046813,0.05459719120073107,-0.012476141305798744,0.20154091551516135,
-14,0.08271997878011675,0.06028912497456926,-0.035444534829473295,0.2008844923897068,
-13,0.08859903578386956,0.05946121215986315,-0.02794279852655733,0.20514087009429643,
-12,-0.023577039365632692,0.07594398751008512,-0.1724245197277592,0.12527044099649384,
-11,0.04076363431206652,0.03350111207391405,-0.024897338794844973,0.10642460741897801,
-10,0.030141462877578917,0.04288971167107232,-0.05392082730503005,0.11420375306018789,
-9,0.06910515105775632,0.04184323223650359,-0.012906077122536094,0.15111637923804871,
-8,0.18986621330349196,0.09110598396028576,0.01130176596524804,0.3684306606417359,*
-7,0.02716909857133966,0.0650490955402439,-0.10032478591444345,0.15466298305712278,
-6,0.020660654073518508,0.05490894056552871,-0.08695889186416815,0.12828020001120516,
-5,0.034267406800007644,0.038668712021388385,-0.04152187609046462,0.11005668969047991,
-4,0.06529537061202433,0.04522474777814115,-0.023343506243040157,0.1539342474670888,
-3,0.09102680911334152,0.04849369593406076,-0.004019088394654036,0.18607270662133707,
-2,0.07361382422722543,0.049721739234745224,-0.023838993921567367,0.1710666423760182,
-1,0.06715633238431529,0.049375534174081304,-0.029617936314310714,0.16393060108294127,
0,-0.01826349906829832,0.04517201271607937,-0.10679901710099923,0.07027201896440258,
1,0.06898940445571336,0.06152679782509783,-0.051600903365555714,0.18957971227698245,
2,0.10811329758359507,0.0954772270059951,-0.07901862869191036,0.2952452238591005,
3,0.12153677749961023,0.12194302291421716,-0.11746715557819795,0.36054071057741843,
4,0.3423717865599166,0.147696085203715,0.05289277890307609,0.6318507942167572,*
5,0.4030606500660919,0.15471050284950277,0.09983363645098503,0.7062876636811988,*
6,0.43709637837117554,0.1849394748337727,0.07462166837722933,0.7995710883651217,*
7,0.4671663801617253,0.1972806338786001,0.08050344291243666,0.8538293174110139,*
8,0.4456560925993412,0.21696017545155097,0.02042196263481011,0.8708902225638723,*
9,0.7544908497562189,0.3471470741234689,0.0740950871357633,1.4348866123766746,*
10,1.0110599685454,0.47074375493589254,0.0884191629239014,1.9337007741668986,*
11,1.2226929557068833,0.5616347289252278,0.12190911454652076,2.323476796867246,*
12,1.19569773212357,0.5929126246742231,0.03361034178297806,2.357785122464162,*
