,count,mean,std,min,25%,50%,75%,max,n_obs
green_adoption_binary,27222.0,0.5627066343398721,0.4960614051141234,0.0,0.0,1.0,1.0,1.0,27222
green_adoption_index,27222.0,0.21026891764714112,0.25255247601296205,0.0,0.0,0.14285714285714285,0.3333333333333333,1.0,27222
fin_has_credit_line,27487.0,0.35049296030850946,0.4771330290341699,0.0,0.0,0.0,1.0,1.0,27487
fin_has_overdraft,27359.0,0.3861983259622062,0.48688586311142823,0.0,0.0,0.0,1.0,1.0,27359
fin_obstacle_access_to_finance,27335.0,1.251728553137004,1.2594975518204827,0.0,0.0,1.0,2.0,4.0,27335
sbfn_member,28042.0,0.2978032950574139,0.45730072166635904,0.0,0.0,0.0,1.0,1.0,28042
wgi_regulatory_quality,28042.0,0.0882043567398902,0.5947055644836179,-0.9215511,-0.3542324,0.0271992,0.4598348,1.5431575,28042
wgi_government_effectiveness,28042.0,0.09325042490906514,0.48912533472038455,-0.7937191,-0.234355899999999,0.0359426,0.4586098,1.2721351,28042
log_sales,25233.0,16.25248279707289,2.8535331833059034,7.600902459542082,14.077874822431765,16.01015881944698,18.064005800013632,30.67554355365197,25233
foreign_owned_dummy,27619.0,0.08457945617147616,0.2782599058766105,0.0,0.0,0.0,0.0,1.0,27619
exporter_dummy,28042.0,0.2938806076599387,0.45554604213819305,0.0,0.0,0.0,1.0,1.0,28042
