,M1_baseline,M2_sbfn_main,M3_triple_interaction
fin_has_credit_line,"0.571***
(0.123)","0.459***
(0.090)","0.373***
(0.085)"
sbfn_member,,"-0.991***
(0.178)","-0.844***
(0.209)"
fin_has_credit_line:sbfn_member,,"0.048
(0.168)","0.019
(0.140)"
wgi_regulatory_quality,,,"0.278
(0.174)"
fin_has_credit_line:wgi_regulatory_quality,,,"0.144
(0.142)"
sbfn_member:wgi_regulatory_quality,,,"0.053
(0.261)"
fin_has_credit_line:sbfn_member:wgi_regulatory_quality,,,"-0.104
(0.272)"
log_sales,"0.061
(0.039)","0.041
(0.034)","0.068**
(0.032)"
foreign_owned_dummy,"0.219
(0.143)","0.244*
(0.139)","0.220
(0.143)"
exporter_dummy,"0.537***
(0.092)","0.471***
(0.074)","0.412***
(0.079)"
N,23914,23914,23914
Pseudo R2,0.058,0.089,0.093
