variable,definition,construction,wbes_code,source
green_adoption_binary,"Green practice adoption (binary)","=1 if firm adopted >=1 of 7 Green Economy practices in last 3 years, else 0","BMGc23b, BMGc23d, BMGc23e, BMGc23f, BMGc23j, BMGc25, BMGe5","World Bank Enterprise Surveys, Green Economy Module, ECA-MENA combined file (2018-2020)"
green_adoption_index,"Green practice adoption (index)","Mean of the 7 binary Green Economy items above (0-1)","BMGc23b, BMGc23d, BMGc23e, BMGc23f, BMGc23j, BMGc25, BMGe5","World Bank Enterprise Surveys, Green Economy Module"
fin_has_credit_line,"Bank credit access (binary)","=1 if firm has a line of credit or loan from a financial institution","K8","World Bank Enterprise Surveys, Access to Finance Module"
fin_has_overdraft,"Overdraft facility (binary)","=1 if firm currently has an overdraft facility","K7","World Bank Enterprise Surveys, Access to Finance Module"
fin_obstacle_access_to_finance,"Perceived finance obstacle (ordinal 0-4)","0=no obstacle ... 4=very severe obstacle","K30","World Bank Enterprise Surveys, Access to Finance Module"
sbfn_member,"SBFN policy adoption (binary)","=1 if economy had adopted a national SBFN sustainable-finance framework as of the survey year",n/a,"SBFN Global Progress Reports (2018/2019/2021/2023-24); SBFN country progress report addenda; data.sbfnetwork.org country profiles; IFC accession press releases"
sbfn_join_year,"Year of SBFN accession",n/a,n/a,"SBFN country progress reports; data.sbfnetwork.org"
sbfn_policy_stage_at_survey,"SBFN Multi-Tiered Progress Framework stage at survey year",n/a,n/a,"SBFN Global Progress Reports and country addenda"
wgi_regulatory_quality,"Regulatory quality (continuous, -2.5 to 2.5)","World Bank Worldwide Governance Indicators estimate for the exact survey year",n/a,"World Bank Worldwide Governance Indicators, DataBank API (GOV_WGI_RQ_EST)"
wgi_government_effectiveness,"Government effectiveness (continuous, -2.5 to 2.5)","World Bank Worldwide Governance Indicators estimate for the exact survey year",n/a,"World Bank Worldwide Governance Indicators, DataBank API (GOV_WGI_GE_EST)"
size_cat,"Firm size stratum (Small/Medium/Large)","Enterprise Surveys' own sampling strata","A6A","World Bank Enterprise Surveys, Sampling Frame"
sector_broad,"Broad sector (Manufacturing/Services/Construction)","Firm's industry sampling sector, grouped","A4AX","World Bank Enterprise Surveys, Sampling Frame"
log_sales,"Log of total annual sales (last fiscal year)","Natural log of reported total sales, LCU","D2","World Bank Enterprise Surveys, General Information Module"
foreign_owned_dummy,"Foreign ownership (binary)","=1 if any private foreign ownership share > 0%","B2B","World Bank Enterprise Surveys, Ownership Module"
exporter_dummy,"Exporter status (binary)","=1 if any direct or indirect export sales share > 0%","D3B, D3C","World Bank Enterprise Surveys, Sales Module"
co2_monitor,"CO2 emissions monitoring (binary, extension sample)","=1 if firm monitored CO2 emissions in last 3 years; country-specific item code","BMGc8 (Bangladesh); ge7_BR (Indonesia); ge7 (Peru, Philippines); TLge7 (Timor-Leste); not available for India","World Bank Enterprise Surveys, Green Economy Module (2021-2023 shortened/randomized vintage)"
waste_minimization,"Waste minimization/recycling adoption (binary, extension sample)","=1 if firm adopted waste minimization/recycling in last 3 years; country-specific item code","BMGc23e (India); ge8e_BR (Indonesia); ge8e (Peru); TLge8e (Timor-Leste); not available for Bangladesh or Philippines","World Bank Enterprise Surveys, Green Economy Module (2021-2023 shortened/randomized vintage)"
